rank,word,count
1,the,7084
2,be,6274
3,to,4954
4,a,3544
5,of,3437
6,and,2938
7,in,2594
8,it,1896
9,have,1756
10,they,1671
11,you,1633
12,that,1597
13,for,1418
14,on,1385
15,with,1053
16,do,1026
17,not,1024
18,their,990
19,more,837
20,as,781
21,we,768
22,i,762
23,from,743
24,people,710
25,can,697
26,by,687
27,what,667
28,this,666
29,will,620
30,but,618
31,at,597
32,or,567
33,question,540
34,passage,536
35,he,533
36,say,532
37,about,510
38,make,492
39,hear,478
40,an,467
41,than,457
42,just,448
43,your,412
44,work,400
45,there,397
46,base,394
47,when,393
48,section,378
49,time,367
50,may,350
51,student,345
52,each,343
53,who,339
54,good,338
55,find,333
56,other,332
57,some,324
58,year,323
59,new,321
60,take,316
61,how,309
62,so,304
63,if,302
64,all,300
65,our,300
66,she,298
67,use,297
68,get,295
69,answer,293
70,study,292
71,mark,279
72,well,274
73,report,273
74,choice,267
75,should,266
76,his,264
77,help,262
78,through,258
79,school,254
80,many,253
81,part,252
82,also,248
83,most,242
84,go,240
85,would,236
86,up,233
87,like,233
88,think,231
89,letter,227
90,food,227
91,no,224
92,word,219
93,news,215
94,which,215
95,way,214
96,after,209
97,give,208
98,out,208
99,life,207
100,only,206
101,these,205
102,write,204
103,child,202
104,learn,197
105,then,195
106,much,194
107,research,191
108,day,191
109,long,190
110,its,185
111,could,184
112,need,184
113,come,181
114,change,181
115,minute,178
116,conversation,174
117,show,174
118,those,174
119,high,170
120,even,169
121,once,167
122,her,166
123,want,166
124,into,165
125,over,164
126,sheet,163
127,social,163
128,too,162
129,company,161
130,because,161
131,my,161
132,health,158
133,corresponding,154
134,woman,150
135,see,148
136,employee,147
137,less,145
138,different,145
139,directions,144
140,both,143
141,great,143
142,thing,142
143,choose,141
144,skill,141
145,single,140
146,job,140
147,line,139
148,read,139
149,problem,139
150,now,139
151,become,138
152,know,138
153,information,137
154,world,137
155,first,134
156,why,133
157,around,131
158,author,129
159,end,128
160,paragraph,128
161,feel,128
162,business,126
163,man,126
164,follow,124
165,any,123
166,researcher,122
167,number,122
168,mean,122
169,centre,121
170,look,121
171,increase,120
172,while,118
173,bank,117
174,such,117
175,own,116
176,often,116
177,home,115
178,before,114
179,pay,114
180,likely,114
181,same,112
182,important,112
183,book,111
184,eat,110
185,ask,109
186,must,108
187,something,108
188,still,108
189,very,107
190,experience,106
191,start,104
192,university,104
193,try,102
194,between,102
195,speak,101
196,where,101
197,online,100
198,cause,100
199,old,100
200,self,100
201,healthy,100
202,comprehension,99
203,statement,98
204,keep,98
205,benefit,98
206,one,98
207,place,98
208,lead,97
209,might,97
210,family,96
211,last,96
212,car,95
213,spend,95
214,questions,95
215,identify,94
216,include,94
217,cost,94
218,right,94
219,idea,93
220,decision,93
221,human,92
222,kid,92
223,name,92
224,diet,91
225,accord,90
226,country,90
227,lot,88
228,city,88
229,animal,87
230,result,87
231,money,87
232,brain,86
233,require,86
234,public,85
235,suggest,85
236,technology,84
237,play,84
238,design,84
239,back,83
240,off,83
241,risk,82
242,however,82
243,parent,81
244,leave,81
245,tell,81
246,class,80
247,actually,80
248,create,79
249,age,79
250,participant,79
251,education,79
252,live,78
253,provide,77
254,few,77
255,believe,77
256,grow,77
257,success,77
258,least,76
259,goal,76
260,early,75
261,consider,75
262,far,75
263,improve,75
264,low,75
265,future,75
