rank,word,doc_freq,term_freq
1,the,31,7072
2,be,31,6269
3,to,31,4938
4,a,31,3538
5,of,31,3434
6,and,31,2933
7,in,31,2594
8,it,31,1894
9,have,31,1748
10,they,31,1671
11,you,31,1619
12,that,31,1597
13,for,31,1415
14,on,31,1383
15,with,31,1052
16,do,31,1026
17,not,31,1024
18,their,31,989
19,more,31,832
20,as,31,780
21,we,31,768
22,i,31,757
23,from,31,743
24,people,31,710
25,can,31,697
26,by,31,685
27,what,31,667
28,this,31,664
29,will,31,615
30,but,31,613
31,at,31,592
32,or,31,567
33,question,31,540
34,passage,31,536
35,say,31,532
36,about,31,509
37,make,31,492
38,an,31,465
39,than,31,452
40,just,31,447
41,your,31,406
42,work,31,400
43,there,31,397
44,base,31,394
45,when,31,393
46,section,31,378
47,time,31,367
48,may,31,350
49,student,31,344
50,each,31,343
51,who,31,339
52,good,31,338
53,find,31,333
54,other,31,331
55,some,31,323
56,year,31,323
57,new,31,321
58,take,31,316
59,how,31,309
60,so,31,304
61,if,31,302
62,all,31,300
63,use,31,297
64,get,31,295
65,answer,31,293
66,study,31,292
67,mark,31,279
68,well,31,274
69,choice,31,267
70,his,31,264
71,should,31,261
72,through,31,258
73,many,31,253
74,also,31,248
75,most,31,241
76,go,31,239
77,part,31,239
78,would,31,236
79,like,31,233
80,up,31,233
81,think,31,231
82,letter,31,225
83,no,31,219
84,which,31,215
85,word,31,209
86,give,31,208
87,out,31,208
88,only,31,206
89,these,31,204
90,learn,31,197
91,write,31,186
92,come,31,181
93,show,31,174
94,even,31,169
95,once,31,167
96,into,31,165
97,over,31,164
98,sheet,31,163
99,minute,31,162
100,corresponding,31,154
101,directions,31,144
102,choose,31,141
103,single,31,140
104,line,31,139
105,become,31,138
106,now,31,137
107,read,31,137
108,why,31,132
109,follow,31,124
110,any,31,123
111,centre,31,121
112,bank,31,117
113,such,31,117
114,before,31,114
115,statement,31,98
116,questions,31,95
117,identify,31,94
118,comprehension,31,91
119,require,31,86
120,least,31,71
121,following,31,68
122,decide,31,66
123,listening,31,63
124,blank,31,62
125,please,31,50
126,reading,31,50
127,list,31,48
128,item,31,41
129,select,31,40
130,carefully,31,39
131,unfinished,31,31
132,he,30,533
133,help,30,262
134,school,30,253
135,way,30,214
136,after,30,209
137,much,30,194
138,could,30,184
139,need,30,184
140,its,30,182
141,those,30,174
142,high,30,170
143,want,30,166
144,because,30,161
145,less,30,145
146,know,30,138
147,information,30,137
148,paragraph,30,128
149,look,30,121
150,while,30,118
151,often,30,116
152,try,30,102
153,benefit,30,98
154,last,30,96
155,contain,30,61
156,direction,30,58
157,attach,30,41
158,derive,30,33
159,our,29,300
160,report,29,270
161,life,29,207
162,then,29,195
163,research,29,191
164,long,29,190
165,too,29,162
166,see,29,148
167,different,29,145
168,great,29,143
169,problem,29,137
170,first,29,134
171,around,29,131
172,author,29,129
173,feel,29,128
174,increase,29,120
175,same,29,112
176,university,29,103
177,one,29,98
178,far,29,75
179,turn,29,65
180,change,28,181
181,thing,28,142
182,world,28,137
183,end,28,128
184,important,28,111
185,ask,28,109
186,something,28,108
187,between,28,102
188,cause,28,100
189,accord,28,90
190,result,28,87
191,back,28,83
192,create,28,79
193,consider,28,75
194,recent,28,57
195,day,27,190
196,both,27,143
197,number,27,122
198,researcher,27,122
199,own,27,116
200,still,27,108
201,very,27,107
202,start,27,104
203,where,27,101
204,lead,27,97
205,might,27,97
206,spend,27,95
207,include,27,94
208,however,27,82
209,actually,27,80
210,believe,27,77
211,another,27,75
212,really,27,74
213,themselves,27,67
214,person,27,66
215,without,27,66
216,among,27,63
217,call,27,63
218,suppose,27,33
219,she,26,298
220,my,26,161
221,health,26,158
222,mean,26,122
223,likely,26,114
224,experience,26,105
225,online,26,99
226,keep,26,98
227,lot,26,88
228,public,26,85
229,off,26,83
230,provide,26,77
231,down,26,75
232,example,26,72
233,whether,26,72
234,allow,26,69
235,young,26,68
236,focus,26,57
237,seem,26,57
238,avoid,26,54
239,view,26,43
240,food,25,227
241,child,25,202
242,social,25,163
243,skill,25,141
244,job,25,139
245,business,25,126
246,pay,25,114
247,eat,25,110
248,must,25,108
249,healthy,25,100
250,place,25,98
251,right,25,94
252,human,25,92
253,tell,25,81
254,live,25,78
255,few,25,77
256,grow,25,77
257,early,25,75
258,low,25,75
259,bring,25,74
260,big,25,72
261,every,25,72
262,little,25,70
263,large,25,69
264,understand,25,69
265,develop,25,65
266,level,25,62
267,enjoy,25,61
268,easy,25,57
269,since,25,54
270,fact,25,53
271,stay,25,50
272,news,24,215
273,company,24,161
274,speak,24,101
275,family,24,96
276,cost,24,94
277,idea,24,93
278,suggest,24,85
279,participant,24,79
280,improve,24,74
281,build,24,71
282,month,24,71
283,affect,24,66
284,move,24,57
285,support,24,56
286,hand,24,50
287,finding,24,48
