rank,word,count
1,the,7084
2,to,4954
3,a,3544
4,of,3437
5,and,2938
6,in,2594
7,it,1896
8,is,1867
9,you,1633
10,are,1610
11,that,1597
12,for,1418
13,on,1385
14,they,1335
15,with,1053
16,not,1024
17,have,1012
18,their,990
19,be,899
20,more,837
21,as,781
22,from,743
23,people,708
24,can,697
25,by,687
26,i,686
27,what,667
28,this,666
29,but,618
30,we,605
31,at,597
32,or,567
33,will,560
34,questions,544
35,about,510
36,was,510
37,do,494
38,passage,482
39,an,467
40,he,463
41,than,457
42,just,448
43,has,426
44,your,412
45,there,397
46,when,393
47,based,383
48,section,376
49,may,350
50,each,343
51,who,339
52,them,336
53,some,324
54,were,321
55,new,320
56,time,318
57,how,309
58,so,304
59,if,302
60,all,300
61,our,300
62,students,299
63,work,289
64,does,275
65,answer,273
66,heard,270
67,should,266
68,his,264
69,she,261
70,through,258
71,many,253
72,also,248
73,most,242
74,other,240
75,part,231
76,up,231
77,said,228
78,been,225
79,no,224
80,letter,224
81,make,220
82,like,219
83,news,215
84,which,215
85,after,209
86,would,209
87,out,208
88,only,206
89,school,206
90,these,205
91,hear,204
92,report,204
93,her,203
94,then,195
95,directions,194
96,much,194
97,food,188
98,us,188
99,research,186
100,its,185
101,could,184
102,found,183
103,help,182
104,study,182
105,had,182
106,best,180
107,choices,180
108,year,177
109,those,174
110,children,170
111,minutes,169
112,even,169
113,get,168
114,once,167
115,into,165
116,way,165
117,good,164
118,over,164
119,social,163
120,too,162
121,sheet,161
122,because,161
123,life,161
124,my,161
125,think,159
126,use,158
127,health,158
128,take,158
129,well,157
130,being,156
131,corresponding,154
132,conversation,146
133,years,146
134,different,145
135,words,143
136,both,143
137,less,143
138,making,141
139,single,140
140,long,139
141,now,139
142,information,137
143,say,137
144,line,136
145,world,136
146,did,134
147,day,134
148,why,133
149,first,132
150,around,131
151,says,130
152,employees,129
153,mark,127
154,choose,126
155,women,126
156,find,125
157,skills,125
158,learn,125
159,marked,124
160,any,123
161,need,122
162,centre,121
163,following,120
164,going,119
165,while,118
166,such,117
167,write,116
168,often,116
169,high,116
170,author,116
171,end,115
172,bank,115
173,researchers,115
174,before,114
175,likely,114
176,job,113
177,same,112
178,want,112
179,important,112
180,read,111
181,better,110
182,own,109
183,must,108
184,something,108
185,still,108
186,very,107
187,made,107
188,given,106
189,things,105
190,change,103
191,between,102
192,where,101
193,online,100
194,business,100
195,comprehension,99
196,paragraph,98
197,working,98
198,might,97
199,learning,96
200,home,94
201,see,93
202,last,93
203,others,92
204,according,90
205,university,90
206,feel,89
207,know,88
208,studies,87
209,question,87
210,choice,87
211,money,87
212,become,86
213,public,85
214,company,85
215,kids,85
216,number,84
217,off,83
218,healthy,82
219,however,82
220,great,81
221,problem,81
222,self,81
223,actually,80
224,lot,79
225,reading,79
226,go,79
227,one,79
228,family,79
229,education,79
230,doing,78
231,participants,78
232,spoken,77
233,back,77
234,least,76
235,getting,76
236,word,76
237,companies,76
238,me,76
239,experience,75
240,future,75
241,down,75
242,success,75
243,another,75
244,means,75
245,men,75
246,really,74
247,listening,72
248,come,72
249,whether,72
250,right,72
251,city,72
252,every,72
253,parents,71
254,place,71
255,him,70
256,media,70
257,water,70
258,name,70
259,financial,70
260,technology,69
261,stress,69
262,taking,69
263,little,69
264,countries,69
265,local,68
266,using,68
267,used,68
268,car,67
269,human,67
270,themselves,67
271,today,67
272,old,67
273,without,66
274,example,66
275,give,65
276,show,65
277,keep,64
278,benefits,64
279,person,64
280,during,64
281,look,63
282,among,63
283,brain,62
284,statements,62
285,ability,61
286,far,61
287,physical,61
288,writing,60
289,friends,59
290,young,59
291,workers,59
292,problems,58
293,team,58
294,understand,58
295,away,58
296,course,58
297,fruit,57
298,recent,57
299,design,57
300,age,57
301,thinking,57
302,days,57
303,yes,57
304,scientists,56
305,diet,56
306,able,56
307,tend,56
308,few,55
309,times,55
310,possible,55
311,book,55
312,eating,55
313,passages,54
314,animals,54
315,early,54
316,pay,54
317,since,54
318,space,53
319,under,53
320,teachers,53
321,simply,53
322,adults,53
323,greater,53
324,music,53
325,spend,52
326,control,52
327,data,52
328,man,52
329,lives,51
330,lead,51
331,average,51
332,americans,51
333,care,50
334,please,50
335,having,50
336,games,50
337,risk,50
338,living,50
339,similar,50
340,meat,50
341,personal,50
342,protein,50
343,identify,49
344,poor,49
345,customers,49
346,increase,49
347,ways,49
348,exercise,49
349,american,49
350,process,49
351,career,49
352,big,48
353,provide,48
354,schools,48
355,cost,48
356,rather,48
357,natural,48
358,hard,48
359,sure,48
360,decision,48
361,building,47
362,popular,47
363,ideas,47
364,longer,47
365,quality,47
366,office,47
367,traffic,47
368,enough,47
369,always,47
370,someone,47
371,environment,47
372,busy,47
373,plastic,47
374,free,46
375,student,46
376,results,46
377,shows,46
378,instead,46
379,try,46
380,reduce,46
381,leave,46
382,language,46
383,foods,46
384,idea,46
385,books,46
386,class,45
387,list,45
388,performance,45
389,higher,45
390,costs,45
391,disease,45
392,done,45
393,play,45
394,traditional,45
395,fact,45
396,sense,45
397,ago,45
398,attention,45
399,believe,45
400,comes,45
401,current,45
402,decisions,45
403,asked,44
404,open,44
405,difficult,44
406,science,44
407,large,44
408,percent,44
409,improve,44
410,left,44
411,never,44
412,eat,44
413,week,44
414,real,43
415,restaurant,43
416,required,43
417,across,43
418,next,43
419,small,43
420,sports,43
421,avoid,43
422,support,42
423,body,42
424,decide,42
425,training,42
426,energy,42
427,relationships,42
428,group,42
429,term,41
430,behavior,41
431,red,41
432,certain,41
433,thought,41
434,already,41
435,though,41
436,lack,41
437,makes,40
438,put,40
439,followed,40
440,low,40
441,products,40
442,power,40
443,knowledge,40
444,bring,39
445,buy,39
446,got,39
447,cause,39
448,state,39
449,carefully,39
450,identified,39
451,start,39
452,impact,39
453,emotional,39
454,mental,39
455,lower,39
456,task,39
457,interest,39
458,goals,39
459,taken,39
460,trying,39
461,mean,39
462,interesting,39
463,teens,39
464,college,38
465,past,38
466,culture,38
467,key,38
468,playing,38
469,effects,38
470,numbers,38
471,yet,38
472,decades,38
473,increasing,38
474,here,38
475,saying,38
476,set,37
477,goal,37
478,enjoy,37
479,several,37
480,almost,37
481,thing,37
482,needs,37
483,create,37
484,obesity,37
485,tell,37
486,heart,37
487,against,37
488,statement,36
489,police,36
490,america,36
491,item,36
492,month,36
493,simple,36
494,including,36
495,especially,36
496,system,36
497,started,36
498,practice,36
499,stay,36
500,anything,36
501,dogs,36
502,gender,36
503,form,36
504,phone,36
505,essay,35
506,together,35
507,whole,35
508,easy,35
509,successful,35
510,attached,35
511,classes,35
512,half,35
513,ask,35
514,weight,35
515,suggest,35
516,probably,35
517,juice,35
518,love,35
519,sounds,35
520,months,35
521,diets,35
522,reports,34
523,helps,34
524,develop,34
525,contains,34
526,nearly,34
527,industry,34
528,activities,34
529,bad,34
530,consumers,34
531,effect,34
532,looking,34
533,habits,34
534,hours,34
535,professor,34
536,coming,33
537,close,33
538,second,33
539,consider,33
540,showed,33
541,levels,33
542,positive,33
543,experts,33
544,animal,33
545,child,33
546,activity,33
547,stop,33
548,worth,33
549,handed,33
550,took,33
551,groups,33
552,access,33
553,select,32
554,derived,32
555,growth,32
556,came,32
557,findings,32
558,potential,32
559,achieve,32
560,risks,32
561,born,32
562,negative,32
563,live,32
564,point,32
565,states,32
566,balance,32
567,growing,32
568,behind,32
569,face,32
570,suppose,32
571,internet,32
572,order,32
573,seen,32
574,waste,32
575,communication,31
576,common,31
577,blanks,31
578,blank,31
579,society,31
580,result,31
581,daily,31
582,told,31
583,reported,31
584,unfinished,31
585,encourage,31
586,survey,31
587,wrong,31
588,let,31
589,suggests,31
590,diversity,31
591,present,31
592,york,31
593,medical,31
594,per,31
595,government,31
596,amount,31
597,employers,31
598,fish,31
599,house,30
600,paragraphs,30
601,academic,30
602,jobs,30
603,development,30
604,managers,30
605,wanted,30
606,areas,30
607,compared,30
608,ever,30
609,true,30
610,causes,30
