rank,word,doc_freq,term_freq
1,the,31,7072
2,to,31,4938
3,a,31,3538
4,of,31,3434
5,and,31,2933
6,in,31,2594
7,it,31,1894
8,is,31,1866
9,you,31,1619
10,are,31,1606
11,that,31,1597
12,for,31,1415
13,on,31,1383
14,they,31,1335
15,with,31,1052
16,not,31,1024
17,have,31,1005
18,their,31,989
19,be,31,899
20,more,31,832
21,as,31,780
22,from,31,743
23,people,31,708
24,can,31,697
25,by,31,685
26,i,31,681
27,what,31,667
28,this,31,664
29,but,31,613
30,we,31,605
31,at,31,592
32,or,31,567
33,will,31,555
34,questions,31,544
35,about,31,509
36,do,31,494
37,passage,31,482
38,an,31,465
39,than,31,452
40,just,31,447
41,has,31,425
42,your,31,406
43,there,31,397
44,when,31,393
45,based,31,383
46,section,31,376
47,may,31,350
48,each,31,343
49,who,31,339
50,them,31,336
51,some,31,323
52,new,31,320
53,time,31,318
54,how,31,309
55,so,31,304
56,if,31,302
57,all,31,300
58,does,31,275
59,answer,31,273
60,his,31,264
61,should,31,261
62,through,31,258
63,many,31,253
64,also,31,248
65,most,31,241
66,other,31,239
67,up,31,231
68,been,31,225
69,letter,31,222
70,like,31,219
71,no,31,219
72,part,31,218
73,which,31,215
74,would,31,209
75,out,31,208
76,only,31,206
77,these,31,204
78,directions,31,189
79,best,31,180
80,choices,31,180
81,even,31,169
82,once,31,167
83,into,31,165
84,over,31,164
85,sheet,31,161
86,think,31,159
87,use,31,158
88,corresponding,31,154
89,minutes,31,153
90,years,31,146
91,making,31,141
92,single,31,140
93,now,31,137
94,line,31,136
95,words,31,133
96,why,31,132
97,mark,31,127
98,choose,31,126
99,learn,31,125
100,marked,31,124
101,any,31,123
102,centre,31,121
103,following,31,120
104,such,31,117
105,bank,31,115
106,before,31,114
107,read,31,110
108,given,31,106
109,write,31,103
110,comprehension,31,91
111,choice,31,87
112,word,31,76
113,reading,31,75
114,least,31,71
115,listening,31,67
116,statements,31,62
117,writing,31,55
118,please,31,50
119,list,31,45
120,required,31,43
121,decide,31,42
122,carefully,31,39
123,identified,31,39
124,item,31,36
125,statement,31,36
126,select,31,32
127,blank,31,31
128,blanks,31,31
129,unfinished,31,31
130,was,30,510
131,he,30,463
132,were,30,321
133,students,30,298
134,said,30,228
135,make,30,220
136,after,30,209
137,much,30,194
138,could,30,184
139,found,30,183
140,help,30,182
141,its,30,182
142,study,30,182
143,those,30,174
144,get,30,168
145,way,30,165
146,good,30,164
147,because,30,161
148,take,30,158
149,being,30,156
150,less,30,143
151,information,30,137
152,say,30,137
153,going,30,118
154,while,30,118
155,often,30,116
156,paragraph,30,98
157,passages,30,54
158,identify,30,49
159,followed,30,40
160,attached,30,35
161,contains,30,34
162,derived,30,32
163,paragraphs,30,30
164,our,29,300
165,work,29,289
166,then,29,195
167,research,29,186
168,had,29,182
169,year,29,177
170,too,29,162
171,well,29,157
172,different,29,145
173,long,29,139
174,did,29,134
175,first,29,132
176,around,29,131
177,find,29,125
178,author,29,116
179,same,29,112
180,want,29,112
181,better,29,110
182,made,29,107
183,see,29,93
184,become,29,86
185,look,29,63
186,school,28,205
187,report,28,201
188,world,28,136
189,important,28,111
190,something,28,108
191,between,28,102
192,according,28,90
193,university,28,89
194,know,28,88
195,getting,28,76
196,using,28,68
197,recent,28,57
198,us,27,188
199,both,27,143
200,says,27,130
201,need,27,122
202,own,27,109
203,still,27,108
204,very,27,107
205,where,27,101
206,might,27,97
207,last,27,93
208,others,27,92
209,feel,27,89
210,studies,27,87
211,number,27,84
212,however,27,82
213,actually,27,80
214,one,27,79
215,back,27,77
216,another,27,75
217,really,27,74
218,used,27,68
219,themselves,27,67
220,without,27,66
221,give,27,65
222,show,27,65
223,among,27,63
224,far,27,61
225,marking,27,27
226,life,26,161
227,my,26,161
228,health,26,158
229,day,26,133
230,end,26,115
231,researchers,26,115
232,likely,26,114
233,things,26,105
234,change,26,103
235,online,26,99
236,question,26,87
237,public,26,85
238,off,26,83
239,problem,26,81
240,down,26,75
241,means,26,75
242,come,26,72
243,whether,26,72
244,she,25,261
245,food,25,188
246,social,25,163
247,high,25,116
248,must,25,108
249,business,25,100
250,great,25,81
251,go,25,79
252,lot,25,79
253,doing,25,78
254,every,25,72
255,place,25,71
256,little,25,69
257,human,25,67
258,example,25,66
259,benefits,25,64
260,person,25,64
261,since,25,54
262,suppose,25,27
263,news,24,215
264,working,24,98
265,participants,24,78
266,right,24,72
267,keep,24,64
268,young,24,59
269,greater,24,53
270,shows,24,46
271,ago,24,45
272,done,24,45
273,yet,24,38
274,anything,24,36
275,essay,24,35
276,children,23,170
277,skills,23,125
278,job,23,112
279,self,23,81
280,experience,23,75
281,future,23,75
282,taking,23,69
283,local,23,68
284,understand,23,58
285,able,23,56
286,problems,23,56
287,few,23,55
288,possible,23,54
289,under,23,53
290,spend,23,52
291,lead,23,51
292,similar,23,50
293,fact,23,45
294,higher,23,45
295,never,23,44
296,avoid,23,43
297,though,23,41
298,easy,23,35
299,conversation,22,146
300,learning,22,96
301,home,22,94
302,healthy,22,82
303,family,22,79
304,success,22,75
305,today,22,67
306,during,22,64
307,away,22,58
308,thinking,22,57
309,times,22,55
310,simply,22,53
311,increase,22,49
312,ways,22,49
313,sure,22,48
314,always,22,47
315,enough,22,47
316,attention,22,45
317,comes,22,45
318,certain,22,41
319,here,22,38
320,several,22,37
321,reports,22,34
322,consider,22,33
323,conversations,22,28
324,heard,21,270
325,hear,21,204
326,her,21,203
327,company,21,85
328,spoken,21,77
329,old,21,67
330,ability,21,61
331,age,21,57
332,pay,21,54
333,lives,21,51
334,care,21,50
335,process,21,49
336,big,21,48
337,popular,21,47
338,someone,21,47
339,reduce,21,46
340,try,21,46
341,believe,21,45
342,asked,21,44
343,current,21,44
344,difficult,21,44
345,improve,21,44
346,already,21,41
347,taken,21,39
348,trying,21,39
349,past,21,38
350,almost,21,37
351,create,21,37
352,thing,21,37
353,especially,21,36
354,simple,21,36
355,together,21,35
356,coming,21,33
357,result,21,31
358,ever,21,30
359,level,21,28
360,published,21,28
361,money,20,87
362,kids,20,85
363,me,20,76
364,city,20,72
365,course,20,58
366,tend,20,56
367,eating,20,55
368,early,20,54
369,longer,20,47
370,large,20,44
371,across,20,43
372,next,20,43
373,small,20,43
374,support,20,42
375,thought,20,41
376,makes,20,40
377,put,20,40
378,cause,20,39
379,got,20,39
380,impact,20,39
381,mean,20,39
382,decades,20,38
383,enjoy,20,37
384,ask,20,35
385,suggests,20,31
386,focus,20,29
387,quite,20,28
388,education,19,79
389,companies,19,76
390,parents,19,71
391,him,19,70
392,physical,19,61
393,yes,19,57
394,book,19,52
395,average,19,51
396,having,19,50
397,living,19,50
398,personal,19,50
399,hard,19,48
400,provide,19,48
401,rather,19,48
402,instead,19,46
403,performance,19,45
404,play,19,45
405,eat,19,44
406,percent,19,44
407,science,19,44
408,lack,19,41
409,lower,19,39
410,increasing,19,38
411,key,19,38
412,against,19,37
413,needs,19,37
414,task,19,37
415,including,19,36
416,love,19,35
417,whole,19,35
418,nearly,19,34
419,took,19,33
420,came,19,32
421,findings,19,32
422,live,19,32
423,wrong,19,31
424,finding,19,29
425,benefit,19,28
426,maybe,19,27
427,huge,19,25
428,role,19,25
429,friends,18,59
430,scientists,18,56
431,data,18,52
432,risk,18,50
433,american,18,49
434,poor,18,49
